estate,estate_eng,estate_chi,t_pop,pop_m,pop_f,sr,age_1,age_2,age_3,age_4,age_5,t_ma,ma_m,ma_f,born_hk,born_chi,born_else,ethn_chi,ethn_phi,ethn_ind,ethn_wh,ethn_oth,ms_nm_m,ms_ma_m,ms_wds_m,ms_nm_f,ms_m_f,ms_wds_f,ul_can,ul_put,ul_othchi,ul_eng,ul_oth,readchi_ablepctn,readeng_ablepctn,writechi_ablepctn,writeeng_ablepctn,edu_pri_be,edu_sec,edu_psec,pls_same,pls_diff_hk,pls_diff_kln,pls_diff_nt,s_diff_oth,t_wp,wp_ee,wp_er,wp_se,wp_fw,t_nwp,nwp_hm,nwp_st,nwp_re,nwp_care,nwp_oth,plw_same,plw_diff_hk,plw_diff_kln,plw_diff_nt,plw_diff_oth,plw_nofix,plw_hm,plw_out,mearn_xfw_sb_1,mearn_xfw_sb_2,mearn_xfw_sb_3,t_mmearn,mearn_xfdhfw_sb_1,mearn_xfdhfw_sb_2,mearn_xfdhfw_sb_3,t_mmearn_xfdh,wp_a,wp_b,wp_c,wp_d,wp_e,wp_f,wp_g,wp_h,wp_i,wp_j,wp_k,wp_l,wp_m,wp_n,wp_o,wp_p,wp_q,wp_r,wp_s,wp_t,whr_1,whr_2,whr_3,whr_4,whr_5,whr_6,dh,dhz_1,dhz_2,dhz_3,dhz_4,dhz_5,dhz_6,adhz,dhc_nc,dhc_re,dhc_oth,dhi_sb_1,dhi_sb_2,dhi_sb_3,dhi_sb_4,ma_hh,dhi_sb_e1,dhi_sb_e2,dhi_sb_e3,dhi_sb_e4,ma_econhh,dhm_loan,dhm_lr,dm_r,dmr_ir,fa_m,full_address,full_address_alt,latitude,longitude
60094,Banyan Garden,泓景臺,6515.0,2962.0,3553.0,834.0,1000.0,534.0,2137.0,2509.0,335.0,41.9,43.1,41.5,4875.0,928.0,712,5878.0,308,215,47,67,683.0,1694.0,91,816.0,1963.0,268.0,5140.0,346,32,684,46,90.2,93.9,88.7,91.3,113.0,1938.0,3464.0,615,133,268,199,-,3887.0,3599.0,164,124.0,-,2628.0,351.0,1281.0,326.0,68,602.0,440,781,1018.0,621.0,122,248.0,587.0,70,776.0,437.0,2674.0,30000.0,242.0,437.0,2674.0,32800.0,778,898,708.0,488.0,323.0,13,30,649.0,-,114,140.0,743.0,163,87,274,407.0,391.0,926.0,622.0,20,158.0,206.0,1601.0,1339.0,400.0,183.0,2301.0,351.0,880.0,331.0,422.0,248,69,2.8,1647.0,195.0,459.0,178.0,73.0,511.0,1539,60050.0,69,68,469.0,1511,64150.0,15000,19,17900,31,47.0,"Banyan Garden, Hong Kong","泓景臺, Hong Kong",22.3344926,114.1476188
20003,Bauhinia Garden,寶盈花園,9255.0,4113.0,5142.0,800.0,1069.0,860.0,2182.0,3490.0,1654.0,47.9,48.4,47.6,6200.0,2482.0,573,8813.0,120,286,-,36,722.0,2631.0,198,1113.0,2886.0,636.0,8421.0,62,189,112,105,93.9,70.4,91.9,67.8,1260.0,4328.0,2598.0,791,179,401,140,19,4864.0,4459.0,85,308.0,12,4391.0,473.0,1376.0,1782.0,119,641.0,565,1165,1442.0,413.0,149,664.0,421.0,45,891.0,1527.0,2434.0,20000.0,521.0,1527.0,2434.0,20000.0,330,397,962.0,1053.0,897.0,283,280,662.0,-,153,379.0,1031.0,425,404,150,277.0,693.0,831.0,510.0,11,261.0,453.0,1499.0,1944.0,395.0,312.0,3129.0,340.0,956.0,865.0,639.0,185,144,3.0,2063.0,688.0,378.0,454.0,443.0,893.0,1339,32000.0,81,390,868.0,1339,39920.0,5800,17.9,**,**,45.0,"Bauhinia Garden, Hong Kong","寶盈花園, Hong Kong",22.3062104,114.2622697
60106,Bayshore Towers,海柏花園,2963.0,1313.0,1650.0,796.0,476.0,202.0,918.0,965.0,402.0,43.4,43.8,43.3,2040.0,590.0,333,2708.0,143,60,23,29,171.0,838.0,46,256.0,1041.0,135.0,2433.0,78,20,207,20,91.2,80.7,89.8,79.2,224.0,966.0,1297.0,189,7,119,133,-,1547.0,1356.0,61,122.0,8,1416.0,131.0,435.0,537.0,44,269.0,66,341,387.0,327.0,19,149.0,215.0,43,276.0,352.0,911.0,24200.0,73.0,352.0,911.0,27810.0,229,326,417.0,161.0,117.0,12,36,249.0,-,52,57.0,259.0,32,34,65,197.0,185.0,447.0,219.0,-,19.0,118.0,650.0,505.0,173.0,82.0,1073.0,184.0,373.0,221.0,153.0,94,48,2.8,715.0,120.0,238.0,193.0,79.0,225.0,576,41920.0,-,46,183.0,576,58040.0,15200,22.1,15650,27.9,40.0,"Bayshore Towers, Hong Kong","海柏花園, Hong Kong",22.4254216,114.2313677
60111,Bayview Garden,灣景花園,3929.0,1834.0,2095.0,875.0,512.0,244.0,1243.0,1330.0,600.0,44.2,45.0,43.4,2927.0,646.0,356,3621.0,189,92,6,21,429.0,1040.0,60,454.0,1263.0,171.0,3501.0,56,-,222,33,91.5,85.4,90.9,84.2,319.0,1399.0,1699.0,295,29,171,173,10,2180.0,1913.0,109,158.0,-,1749.0,119.0,632.0,697.0,113,188.0,323,500,562.0,211.0,23,204.0,336.0,21,446.0,318.0,1416.0,25000.0,141.0,318.0,1416.0,30000.0,363,466,441.0,289.0,165.0,46,50,360.0,-,51,113.0,342.0,142,36,61,292.0,303.0,460.0,338.0,42,56.0,155.0,840.0,710.0,261.0,158.0,1165.0,72.0,282.0,325.0,226.0,184,76,3.3,928.0,157.0,80.0,91.0,32.0,233.0,809,57500.0,25,32,186.0,775,70140.0,16880,21.4,19000,21.4,66.0,"Bayview Garden, Hong Kong","灣景花園, Hong Kong",22.369848,114.0994712
60123,Bedford Gardens,百福花園,3950.0,1796.0,2154.0,834.0,369.0,211.0,1154.0,1283.0,933.0,47.9,48.3,47.5,2663.0,861.0,426,3630.0,153,154,-,13,458.0,1062.0,75,474.0,1279.0,233.0,3448.0,45,124,171,32,91.1,84.7,90.0,82.7,275.0,1420.0,1886.0,259,136,9,6,-,2144.0,1914.0,69,161.0,-,1806.0,103.0,380.0,996.0,54,273.0,416,673,304.0,148.0,52,152.0,356.0,43,539.0,397.0,1208.0,21250.0,240.0,397.0,1208.0,27000.0,277,519,484.0,274.0,198.0,35,17,340.0,-,41,70.0,265.0,73,19,129,306.0,449.0,433.0,334.0,25,177.0,221.0,838.0,524.0,184.0,200.0,1316.0,182.0,377.0,338.0,224.0,97,98,3.0,929.0,170.0,217.0,191.0,144.0,194.0,787,50070.0,53,94,175.0,745,56570.0,16000,20,18000,29.1,55.0,"Bedford Gardens, Hong Kong","百福花園, Hong Kong",22.2898317,114.2044269
60126,Bel-Air,貝沙灣,8795.0,3305.0,5490.0,602.0,1584.0,667.0,2820.0,2661.0,1063.0,41.2,41.9,41.1,4300.0,1558.0,2937,5592.0,1543,226,659,775,502.0,1898.0,102,1315.0,2941.0,453.0,3984.0,752,174,3064,342,69.7,91.5,67.2,90.2,218.0,2939.0,4054.0,1136,528,66,11,25,5000.0,4379.0,331,237.0,53,3795.0,410.0,1804.0,1025.0,94,462.0,298,1561,483.0,98.0,48,467.0,1955.0,90,1995.0,290.0,2662.0,22910.0,193.0,266.0,2662.0,74620.0,1127,915,702.0,257.0,48.0,32,-,1919.0,-,64,107.0,547.0,81,96,213,1007.0,599.0,460.0,1826.0,-,270.0,416.0,1420.0,1596.0,559.0,739.0,2386.0,221.0,406.0,481.0,426.0,612,240,3.7,1898.0,122.0,366.0,137.0,142.0,223.0,1884,115190.0,5,74,195.0,1715,150140.0,47130,24.2,54000,34.7,119.0,"Bel-Air, Hong Kong","貝沙灣, Hong Kong",22.2535647,114.1328513
60128,Belair Gardens,富豪花園,5680.0,2396.0,3284.0,730.0,646.0,378.0,1606.0,1930.0,1120.0,46.9,49.0,46.3,4149.0,1008.0,523,5265.0,156,245,14,-,501.0,1421.0,94,831.0,1801.0,386.0,5063.0,166,47,191,87,91.5,84.8,90.0,81.8,496.0,1898.0,2640.0,588,51,129,32,28,2886.0,2620.0,102,164.0,-,2794.0,298.0,805.0,1207.0,83,401.0,357,415,812.0,360.0,193,307.0,430.0,12,718.0,529.0,1639.0,24000.0,317.0,529.0,1639.0,26250.0,295,546,691.0,368.0,316.0,139,54,477.0,-,187,271.0,331.0,196,78,115,227.0,361.0,550.0,515.0,55,97.0,365.0,887.0,933.0,279.0,325.0,1877.0,167.0,597.0,477.0,336.0,262,38,3.0,1348.0,285.0,244.0,181.0,240.0,448.0,1008,46770.0,13,155,376.0,956,56020.0,13000,17.5,19500,29.8,62.0,"Belair Gardens, Hong Kong","富豪花園, Hong Kong",22.3852959,114.1993999
60129,Belair Monte,綠悠軒,4790.0,2126.0,2664.0,798.0,807.0,390.0,1403.0,1634.0,556.0,41.5,42.8,41.7,3406.0,1085.0,299,4583.0,34,158,-,15,430.0,1294.0,54,508.0,1415.0,282.0,4402.0,62,32,65,13,94.8,79.7,92.9,77.2,343.0,1910.0,1730.0,621,12,83,215,10,2229.0,2044.0,15,160.0,10,2561.0,331.0,928.0,693.0,94,515.0,342,265,443.0,318.0,205,420.0,202.0,34,383.0,506.0,1330.0,21250.0,191.0,506.0,1330.0,24620.0,169,454,428.0,353.0,242.0,164,119,300.0,-,136,183.0,277.0,194,61,93,156.0,212.0,615.0,289.0,13,69.0,263.0,803.0,696.0,319.0,79.0,1601.0,159.0,449.0,504.0,316.0,121,52,3.0,1202.0,199.0,200.0,220.0,171.0,522.0,688,34000.0,74,131,451.0,673,40040.0,9000,19.1,12000,27.6,57.0,"Belair Monte, Hong Kong","綠悠軒, Hong Kong",22.5014223,114.1452797
60134,Bellagio,碧堤半島,8970.0,4020.0,4950.0,812.0,1214.0,400.0,2924.0,3241.0,1191.0,44.9,45.7,44.4,6653.0,1141.0,1176,7895.0,625,233,100,117,513.0,2642.0,195,769.0,3225.0,412.0,7788.0,60,55,624,166,88.6,87.6,88.1,86.4,605.0,3026.0,4125.0,474,24,476,240,28,5148.0,4453.0,380,315.0,-,3822.0,396.0,1317.0,1363.0,83,663.0,564,1147,1063.0,766.0,279,434.0,800.0,95,1068.0,609.0,3471.0,30000.0,329.0,609.0,3471.0,31680.0,1192,808,1255.0,481.0,346.0,92,139,835.0,-,156,163.0,732.0,405,126,174,640.0,923.0,891.0,881.0,57,262.0,553.0,1907.0,1570.0,454.0,402.0,3174.0,457.0,1045.0,692.0,641.0,271,68,2.8,2200.0,437.0,537.0,291.0,248.0,492.0,2143,59680.0,43,128,462.0,2061,69070.0,13000,18.1,16000,26.2,54.0,"Bellagio, Hong Kong","碧堤半島, Hong Kong",22.3663855,114.0612889
60145,Belvedere Garden,麗城花園,18968.0,8662.0,10306.0,840.0,2325.0,1499.0,5334.0,6144.0,3666.0,45.9,46.7,45.3,13984.0,3399.0,1585,17389.0,774,587,-,218,2224.0,4986.0,264,2221.0,5957.0,991.0,17316.0,144,113,702,150,90.8,83.1,89.6,81.0,1745.0,6665.0,8233.0,1577,204,693,570,29,9506.0,8747.0,308,447.0,4,9462.0,1012.0,2981.0,3949.0,218,1302.0,1171,1854,2082.0,1446.0,393,888.0,1546.0,126,2031.0,1993.0,5478.0,21250.0,660.0,1993.0,5478.0,25000.0,1272,1509,2395.0,1217.0,864.0,315,232,1702.0,-,400,561.0,1543.0,498,219,360,915.0,1644.0,1685.0,1645.0,36,425.0,478.0,3688.0,3040.0,1073.0,802.0,5790.0,464.0,1379.0,1482.0,1513.0,670,282,3.3,4208.0,960.0,622.0,834.0,598.0,988.0,3370,48160.0,169,310,806.0,3277,60200.0,13440,19.5,17700,29.2,62.0,"Belvedere Garden, Hong Kong","麗城花園, Hong Kong",22.3721146,114.1028382
20004,Beverly Garden,富康花園,12038.0,5424.0,6614.0,820.0,1359.0,1262.0,3004.0,4808.0,1605.0,47.4,48.1,47.1,8268.0,3088.0,682,11420.0,272,304,-,42,1431.0,3111.0,220,1415.0,3574.0,928.0,10563.0,91,581,333,51,93.8,73.8,91.8,71.7,1315.0,5790.0,3574.0,1134,263,364,133,33,6907.0,6371.0,118,418.0,-,5131.0,551.0,1869.0,1643.0,177,891.0,800,1615,2314.0,498.0,204,815.0,635.0,26,1259.0,2270.0,3378.0,18000.0,683.0,2270.0,3378.0,20000.0,497,561,1559.0,1457.0,1270.0,337,256,960.0,10,195,448.0,1362.0,627,492,333,620.0,917.0,1084.0,768.0,61,519.0,483.0,2320.0,2223.0,755.0,607.0,3903.0,357.0,986.0,1232.0,884.0,279,165,3.1,2711.0,796.0,396.0,450.0,368.0,1228.0,1857,38070.0,108,322,1221.0,1857,41550.0,6100,18.1,12000,27.8,55.0,"Beverly Garden, Hong Kong","富康花園, Hong Kong",22.3103163,114.2619988
60173,Braemar Hill Mansion,賽西湖大廈,3045.0,1119.0,1926.0,581.0,402.0,160.0,870.0,1008.0,605.0,48.0,50.0,43.7,2035.0,298.0,712,2396.0,473,115,25,36,232.0,644.0,34,529.0,1018.0,186.0,2104.0,111,35,594,85,77.8,92.4,76.1,91.6,118.0,778.0,1747.0,175,200,50,12,-,1511.0,1279.0,116,116.0,-,1534.0,145.0,483.0,602.0,48,256.0,150,413,190.0,18.0,11,64.0,630.0,35,593.0,136.0,782.0,20000.0,10.0,136.0,782.0,45000.0,309,292,200.0,67.0,44.0,11,-,588.0,-,11,27.0,177.0,-,6,29,227.0,225.0,199.0,610.0,-,22.0,176.0,516.0,427.0,234.0,136.0,874.0,89.0,163.0,204.0,189.0,167,62,3.5,619.0,109.0,146.0,92.0,26.0,72.0,684,80000.0,10,-,62.0,577,99430.0,35000,24.5,48000,50.3,104.0,"Braemar Hill Mansion, Hong Kong","賽西湖大廈, Hong Kong",22.2854785,114.2026621
20005,Broadview Court,雅濤閣,4087.0,1849.0,2238.0,826.0,432.0,267.0,1024.0,1473.0,891.0,48.3,49.1,47.9,2959.0,906.0,222,3927.0,65,63,-,32,512.0,1051.0,96,556.0,1191.0,249.0,3833.0,54,57,74,24,95.1,75.5,91.6,72.2,528.0,1714.0,1413.0,215,278,30,41,-,2226.0,2109.0,28,89.0,-,1861.0,264.0,556.0,728.0,56,257.0,468,817,431.0,163.0,43,139.0,165.0,-,443.0,688.0,1095.0,19000.0,293.0,688.0,1095.0,20000.0,174,159,568.0,410.0,429.0,115,84,260.0,27,113,133.0,371.0,122,180,37,177.0,260.0,526.0,263.0,44,176.0,193.0,843.0,816.0,114.0,84.0,1412.0,167.0,382.0,467.0,267.0,108,21,2.9,960.0,263.0,189.0,207.0,156.0,441.0,608,36040.0,60,94,433.0,590,40640.0,6800,15.4,**,**,54.0,"Broadview Court, Hong Kong","雅濤閣, Hong Kong",22.2427768,114.1656292
40003,Broadview Garden,偉景花園,5155.0,2504.0,2651.0,945.0,344.0,317.0,1293.0,1682.0,1519.0,54.2,52.5,56.0,3502.0,1387.0,266,4962.0,75,118,-,-,741.0,1443.0,75,578.0,1615.0,359.0,4887.0,7,36,107,41,95.1,66.0,92.3,63.7,924.0,2386.0,1501.0,257,21,75,113,70,2484.0,2339.0,10,135.0,-,2671.0,212.0,490.0,1518.0,86,365.0,161,387,684.0,491.0,99,403.0,211.0,48,503.0,971.0,1010.0,17000.0,310.0,971.0,1010.0,18000.0,148,230,600.0,457.0,476.0,162,77,334.0,-,111,223.0,457.0,219,158,155,198.0,333.0,331.0,276.0,23,157.0,131.0,846.0,997.0,238.0,115.0,1711.0,158.0,572.0,402.0,340.0,162,77,3.0,1184.0,369.0,158.0,400.0,230.0,282.0,799,36060.0,85,120,249.0,773,44440.0,15000,20.5,3810,12.4,51.0,"Broadview Garden, Hong Kong","偉景花園, Hong Kong",22.3567943,114.103964
